loan_id,customer_id,origination_date,product_type,province,original_amount,interest_rate,credit_score,annual_income,loan_to_value,default_flag
L00000000,C00000000,2022-11-10 09:00:00,Mortgage,ON,166232.01323776506,0.039415028794169166,756,32833.90170472492,0.33392038948357694,0
L00000001,C00000001,2022-11-10 10:00:00,Credit Card,ON,144204.49184735326,0.02892849819146475,707,69591.31626045745,0.34695771296821687,0
L00000002,C00000002,2022-11-10 11:00:00,Auto,ON,424819.9510655941,0.05987321983738439,832,142115.3390573472,0.9097149863957147,0
L00000003,C00000003,2022-11-10 12:00:00,HELOC,QC,9505.50597064841,0.03471118575293172,800,34389.565634872706,0.7492960485459323,0
L00000004,C00000004,2022-11-10 13:00:00,Mortgage,BC,114524.01268709802,0.047378954557052294,823,88163.77567875948,0.6495454751998386,0
L00000005,C00000005,2022-11-10 14:00:00,Mortgage,MB,66285.17667382394,0.04949736383669892,755,187650.23270455058,0.7399271624239901,1
L00000006,C00000006,2022-11-10 15:00:00,Mortgage,ON,334701.9522272319,0.048631973028103306,709,125348.90952602276,0.6879557783474984,0
L00000007,C00000007,2022-11-10 16:00:00,Auto,QC,186583.13266668288,0.05590694862079734,668,38471.61441322269,0.7109902203220544,0
L00000008,C00000008,2022-11-10 17:00:00,Auto,AB,30647.86503376702,0.021767222535551533,598,82548.20497524513,0.7042396827214745,0
L00000009,C00000009,2022-11-10 18:00:00,Auto,AB,52965.444321125986,0.07938094969580528,740,60092.72157563124,0.4135169476127028,0
L00000010,C00000010,2022-11-10 19:00:00,Mortgage,MB,218932.17766694276,0.06297862843631427,746,33002.19456396556,0.7466051416914181,0
L00000011,C00000011,2022-11-10 20:00:00,Credit Card,QC,17586.610108732446,0.04552326690792576,672,63346.559125600856,0.5379641925506276,0
L00000012,C00000012,2022-11-10 21:00:00,Auto,MB,177370.4121025086,0.03147980181741466,749,36890.67391451297,0.9272323303493302,0
L00000013,C00000013,2022-11-10 22:00:00,Mortgage,ON,189956.70091958807,0.02481063934660138,673,52818.257161638474,0.8699886903174299,1
L00000014,C00000014,2022-11-10 23:00:00,Mortgage,BC,236412.90173472016,0.06033142523756731,769,21438.879966449043,0.987015170845874,0
L00000015,C00000015,2022-11-11 00:00:00,Mortgage,ON,578311.0322055767,0.039017336897513494,629,17021.651117597117,0.7928885872161028,0
L00000016,C00000016,2022-11-11 01:00:00,Mortgage,ON,46523.59371735857,0.033768707494992084,615,41277.7075444745,0.8980916853512644,1
L00000017,C00000017,2022-11-11 02:00:00,HELOC,ON,10615.916823701165,0.042797263226740004,680,59330.864914911515,0.5808443394535916,1
L00000018,C00000018,2022-11-11 03:00:00,HELOC,ON,358222.40211915266,0.055575385268462604,766,24916.40724746853,0.763437925318718,0
L00000019,C00000019,2022-11-11 04:00:00,Mortgage,ON,2286864.4363775095,0.06030231300104007,607,67223.43175953874,0.5837682012578976,1
L00000020,C00000020,2022-11-11 05:00:00,Auto,ON,1854.4301194525638,0.0587102041612718,783,50294.43468485797,0.6635581857066005,0
L00000021,C00000021,2022-11-11 06:00:00,Mortgage,ON,127706.35835486554,0.07179593500951842,568,72413.71635955338,0.7044564991957611,1
L00000022,C00000022,2022-11-11 07:00:00,Mortgage,MB,174691.4118893693,0.03312544586420692,680,86455.32912413254,0.7021672539778221,0
L00000023,C00000023,2022-11-11 08:00:00,Mortgage,ON,729646.164960924,0.058204769791828134,586,109770.37751001852,0.6406005070832095,1
L00000024,C00000024,2022-11-11 09:00:00,HELOC,QC,37356.02203052414,0.026066862571165646,491,70401.0344916871,0.4540555845614454,0
L00000025,C00000025,2022-11-11 10:00:00,Auto,ON,84753.7191900417,0.05287608139395067,729,41062.12305641994,0.8413603518688735,0
L00000026,C00000026,2022-11-11 11:00:00,Mortgage,MB,795623.2823918941,0.05503750414938027,685,54902.69153615531,0.7130870586400271,1
L00000027,C00000027,2022-11-11 12:00:00,HELOC,MB,548077.6822687766,0.03297423793605042,588,198294.4961002779,0.6700979874332564,0
L00000028,C00000028,2022-11-11 13:00:00,HELOC,QC,6539.75040621656,0.04350158779947421,658,88546.12016831245,0.8207757169688447,1
L00000029,C00000029,2022-11-11 14:00:00,Mortgage,QC,66335.73605897451,0.06963157337502815,735,51170.66199045514,0.7372934039262528,1
L00000030,C00000030,2022-11-11 15:00:00,Auto,ON,156871.37888780553,0.028904543225177805,670,44787.2919519077,0.900605110523695,1
L00000031,C00000031,2022-11-11 16:00:00,Mortgage,SK,131471.61972613394,0.04607037185695041,684,34236.80041336823,0.7084482397836649,1
L00000032,C00000032,2022-11-11 17:00:00,Mortgage,MB,317840.1420014153,0.07596398427268711,668,24044.964286806302,0.7320332508377908,0
L00000033,C00000033,2022-11-11 18:00:00,Credit Card,MB,275339.8195527689,0.05024653566197605,653,136607.6219218126,0.900207205774957,1
L00000034,C00000034,2022-11-11 19:00:00,Credit Card,QC,13544.134697943324,0.06350802270999722,652,65322.99706300739,0.7587561116418774,0
L00000035,C00000035,2022-11-11 20:00:00,Auto,ON,24100.890978898587,0.06961196237333306,650,22895.31332017333,0.898440487212067,1
L00000036,C00000036,2022-11-11 21:00:00,Mortgage,MB,111375.2816929577,0.032226462490729545,639,45469.490682377334,0.1434267377109733,1
L00000037,C00000037,2022-11-11 22:00:00,Mortgage,ON,385642.3663062691,0.033093034131975944,618,105060.64991456941,0.8166159982706868,1
L00000038,C00000038,2022-11-11 23:00:00,Auto,QC,4041.1496550551724,0.06551548736590301,669,37490.239776590875,0.7118599086133369,0
L00000039,C00000039,2022-11-12 00:00:00,HELOC,ON,822898.9723931303,0.06519840429058406,648,30070.74345746558,0.924890531090084,1
L00000040,C00000040,2022-11-12 01:00:00,Mortgage,MB,237878.67521309876,0.023610999238377145,614,60721.99542157409,0.6949339865106732,1
L00000041,C00000041,2022-11-12 02:00:00,HELOC,ON,32724.001063752068,0.03934989444169786,761,72757.7151738218,0.8258882460092991,0
L00000042,C00000042,2022-11-12 03:00:00,Mortgage,ON,59691.580363444446,0.04391194951450628,798,37518.531383071175,0.5583883589342344,0
L00000043,C00000043,2022-11-12 04:00:00,Credit Card,QC,152911.59080805804,0.06974242420826922,699,34210.122156713434,0.42285625560514084,0
L00000044,C00000044,2022-11-12 05:00:00,Mortgage,AB,684992.9143511744,0.045311735325784246,705,64624.71942843605,0.8647892692557229,0
L00000045,C00000045,2022-11-12 06:00:00,Auto,QC,4963.655657114128,0.07555573342419462,644,24961.572071781622,0.7850762548683127,0
L00000046,C00000046,2022-11-12 07:00:00,Mortgage,ON,493718.13577564363,0.07979646662843841,785,35492.57583504341,0.44374725156326666,0
L00000047,C00000047,2022-11-12 08:00:00,HELOC,ON,182501.65876289213,0.06684356994166098,839,45605.538713521564,0.6793967389961388,0
