"TERMS AND CONDITIONS"
"https://www.bankofcanada.ca/terms/"

"SERIES"
"id","label","description"
"V80691335","5-year","Conventional mortgage"

"OBSERVATIONS"
"date","V80691335"
"2020-01-01","5.19"
"2020-01-08","5.19"
"2020-01-15","5.19"
"2020-01-22","5.19"
"2020-01-29","5.19"
"2020-02-05","5.19"
"2020-02-12","5.19"
"2020-02-19","5.19"
"2020-02-26","5.19"
"2020-03-04","5.19"
"2020-03-11","5.19"
"2020-03-18","5.04"
"2020-03-25","5.04"
"2020-04-01","5.04"
"2020-04-08","5.04"
"2020-04-15","5.04"
"2020-04-22","5.04"
"2020-04-29","5.04"
"2020-05-06","5.04"
"2020-05-13","5.04"
"2020-05-20","4.94"
"2020-05-27","4.94"
"2020-06-03","4.94"
"2020-06-10","4.94"
"2020-06-17","4.94"
"2020-06-24","4.94"
"2020-07-01","4.94"
"2020-07-08","4.94"
"2020-07-15","4.94"
"2020-07-22","4.94"
"2020-07-29","4.94"
"2020-08-05","4.94"
"2020-08-12","4.79"
"2020-08-19","4.79"
"2020-08-26","4.79"
"2020-09-02","4.79"
"2020-09-09","4.79"
"2020-09-16","4.79"
"2020-09-23","4.79"
"2020-09-30","4.79"
"2020-10-07","4.79"
"2020-10-14","4.79"
"2020-10-21","4.79"
"2020-10-28","4.79"
"2020-11-04","4.79"
"2020-11-11","4.79"
"2020-11-18","4.79"
"2020-11-25","4.79"
"2020-12-02","4.79"
"2020-12-09","4.79"
"2020-12-16","4.79"
"2020-12-23","4.79"
"2020-12-30","4.79"
"2021-01-06","4.79"
"2021-01-13","4.79"
"2021-01-20","4.79"
"2021-01-27","4.79"
"2021-02-03","4.79"
"2021-02-10","4.79"
"2021-02-17","4.79"
"2021-02-24","4.79"
"2021-03-03","4.79"
"2021-03-10","4.79"
"2021-03-17","4.79"
"2021-03-24","4.79"
"2021-03-31","4.79"
"2021-04-07","4.79"
"2021-04-14","4.79"
"2021-04-21","4.79"
"2021-04-28","4.79"
"2021-05-05","4.79"
"2021-05-12","4.79"
"2021-05-19","4.79"
"2021-05-26","4.79"
"2021-06-02","4.79"
"2021-06-09","4.79"
"2021-06-16","4.79"
"2021-06-23","4.79"
"2021-06-30","4.79"
"2021-07-07","4.79"
"2021-07-14","4.79"
"2021-07-21","4.79"
"2021-07-28","4.79"
"2021-08-04","4.79"
"2021-08-11","4.79"
"2021-08-18","4.79"
"2021-08-25","4.79"
"2021-09-01","4.79"
"2021-09-08","4.79"
"2021-09-15","4.79"
"2021-09-22","4.79"
"2021-09-29","4.79"
"2021-10-06","4.79"
"2021-10-13","4.79"
"2021-10-20","4.79"
"2021-10-27","4.79"
