"TERMS AND CONDITIONS"
"https://www.bankofcanada.ca/terms/"

"SERIES"
"id","label","description"
"V80691311","Prime rate",""

"OBSERVATIONS"
"date","V80691311"
"2020-01-01","3.95"
"2020-01-08","3.95"
"2020-01-15","3.95"
"2020-01-22","3.95"
"2020-01-29","3.95"
"2020-02-05","3.95"
"2020-02-12","3.95"
"2020-02-19","3.95"
"2020-02-26","3.95"
"2020-03-04","3.95"
"2020-03-11","3.45"
"2020-03-18","2.95"
"2020-03-25","2.95"
"2020-04-01","2.45"
"2020-04-08","2.45"
"2020-04-15","2.45"
"2020-04-22","2.45"
"2020-04-29","2.45"
"2020-05-06","2.45"
"2020-05-13","2.45"
"2020-05-20","2.45"
"2020-05-27","2.45"
"2020-06-03","2.45"
"2020-06-10","2.45"
"2020-06-17","2.45"
"2020-06-24","2.45"
"2020-07-01","2.45"
"2020-07-08","2.45"
"2020-07-15","2.45"
"2020-07-22","2.45"
"2020-07-29","2.45"
"2020-08-05","2.45"
"2020-08-12","2.45"
"2020-08-19","2.45"
"2020-08-26","2.45"
"2020-09-02","2.45"
"2020-09-09","2.45"
"2020-09-16","2.45"
"2020-09-23","2.45"
"2020-09-30","2.45"
"2020-10-07","2.45"
"2020-10-14","2.45"
"2020-10-21","2.45"
"2020-10-28","2.45"
"2020-11-04","2.45"
"2020-11-11","2.45"
"2020-11-18","2.45"
"2020-11-25","2.45"
"2020-12-02","2.45"
"2020-12-09","2.45"
"2020-12-16","2.45"
"2020-12-23","2.45"
"2020-12-30","2.45"
"2021-01-06","2.45"
"2021-01-13","2.45"
"2021-01-20","2.45"
"2021-01-27","2.45"
"2021-02-03","2.45"
"2021-02-10","2.45"
"2021-02-17","2.45"
"2021-02-24","2.45"
"2021-03-03","2.45"
"2021-03-10","2.45"
"2021-03-17","2.45"
"2021-03-24","2.45"
"2021-03-31","2.45"
"2021-04-07","2.45"
"2021-04-14","2.45"
"2021-04-21","2.45"
"2021-04-28","2.45"
"2021-05-05","2.45"
"2021-05-12","2.45"
"2021-05-19","2.45"
"2021-05-26","2.45"
"2021-06-02","2.45"
"2021-06-09","2.45"
"2021-06-16","2.45"
"2021-06-23","2.45"
"2021-06-30","2.45"
"2021-07-07","2.45"
"2021-07-14","2.45"
"2021-07-21","2.45"
"2021-07-28","2.45"
"2021-08-04","2.45"
"2021-08-11","2.45"
"2021-08-18","2.45"
"2021-08-25","2.45"
"2021-09-01","2.45"
"2021-09-08","2.45"
"2021-09-15","2.45"
"2021-09-22","2.45"
"2021-09-29","2.45"
"2021-10-06","2.45"
"2021-10-13","2.45"
"2021-10-20","2.45"
"2021-10-27","2.45"
"2021-11-03","2.45"
"2021-11-10","2.45"
"2021-11-17","2.45"
"2021-11-24","2.45"
"2021-12-01","2.45"
"2021-12-08","2.45"
"2021-12-15","2.45"
"2021-12-22","2.45"
"2021-12-29","2.45"
"2022-01-05","2.45"
"2022-01-12","2.45"
"2022-01-19","2.45"
"2022-01-26","2.45"
"2022-02-02","2.45"
"2022-02-09","2.45"
