,CPI,Inflation_YoY,Unemployment_Rate,Employment_Rate,GDP_Ontario,GDP_Growth_YoY,Policy_Rate,Prime_Rate,Mortgage_5Y_Rate,Prime_Policy_Spread,Mortgage_Prime_Spread,USD_CAD,FX_Change_MoM,FX_Change_YoY,HPI,HPI_Change_MoM,HPI_Change_YoY,WTI_Price,WCS_Price,WCS_WTI_Spread,WTI_Change_YoY,Economic_Cycle_Score,Credit_Conditions,Housing_Risk_Score
2020-01-01,136.8,,,,,,,,,,,,,,545700.0,0.3863134657836609,1.7527503263099042,57.52,36.82,-20.700000000000003,11.950175165434018,,,
2020-01-31,136.8,,,,769942.0,,1.75,3.95,5.19,2.2,1.2400000000000002,1.3086727272727272,,,545700.0,0.3863134657836609,1.7527503263099042,57.52,36.82,-20.700000000000003,11.950175165434018,,4.096,
2020-02-01,137.4,,,,769942.0,,1.75,3.95,5.19,2.2,1.2400000000000002,1.3086727272727272,,,548200.0,0.45812717610409504,3.4144501037540076,50.54,27.28,-23.259999999999998,-8.02547770700638,,4.096,
2020-02-29,137.4,,,,769942.0,,1.75,3.95,5.19,2.2,1.2400000000000002,1.3285842105263157,1.5215021172699128,,548200.0,0.45812717610409504,3.4144501037540076,50.54,27.28,-23.259999999999998,-8.02547770700638,,4.096,
2020-03-01,136.6,,,,769942.0,,1.75,3.95,5.19,2.2,1.2400000000000002,1.3285842105263157,1.5215021172699128,,548700.0,0.09120758847136479,4.236322188449848,29.21,12.84,-16.37,-49.76784178847807,,4.096,
2020-03-31,136.6,,,,769942.0,,0.9545454545454546,3.325,5.115,2.3704545454545456,1.79,1.3952499999999999,5.01780684622728,,548700.0,0.09120758847136479,4.236322188449848,29.21,12.84,-16.37,-49.76784178847807,,3.8500909090909095,
2020-04-01,135.7,,,,769942.0,,0.9545454545454546,3.325,5.115,2.3704545454545456,1.79,1.3952499999999999,5.01780684622728,,541400.0,-1.3304173501002325,2.888635499809955,16.55,3.5,-13.05,-74.0839336047604,,3.8500909090909095,
2020-04-30,135.7,,,,769942.0,,0.25,2.45,5.04,2.2,2.59,1.4057857142857142,0.7551130109811455,,541400.0,-1.3304173501002325,2.888635499809955,16.55,3.5,-13.05,-74.0839336047604,,3.436,
2020-05-01,136.1,,14.2,52.9,769942.0,,0.25,2.45,5.04,2.2,2.59,1.4057857142857142,0.7551130109811455,,544500.0,0.5725895825637206,3.4384498480243053,28.56,11.67,-16.89,-53.04948216340621,,3.436,2.632775075987847
2020-05-31,136.1,,14.2,52.9,769942.0,,0.25,2.45,4.99,2.2,2.54,1.39697,-0.6271022813881366,,544500.0,0.5725895825637206,3.4384498480243053,28.56,11.67,-16.89,-53.04948216340621,,3.4160000000000004,2.617775075987847
2020-06-01,137.2,,12.6,56.2,769942.0,,0.25,2.45,4.99,2.2,2.54,1.39697,-0.6271022813881366,,554700.0,1.8732782369146106,4.858223062381861,38.31,33.97,-4.340000000000003,-29.912184412733257,,3.4160000000000004,1.5878884688090695
2020-06-30,137.2,,12.6,56.2,769942.0,,0.25,2.45,4.94,2.2,2.49,1.3550318181818182,-3.0020817782902887,,554700.0,1.8732782369146106,4.858223062381861,38.31,33.97,-4.340000000000003,-29.912184412733257,,3.3960000000000004,1.5728884688090694
2020-07-01,137.2,,10.9,57.5,769942.0,,0.25,2.45,4.94,2.2,2.49,1.3550318181818182,-3.0020817782902887,,567600.0,2.3255813953488413,6.772009029345383,40.71,32.5,-8.21,-29.014821272885793,,3.3960000000000004,0.2759954853273088
2020-07-31,137.2,,10.9,57.5,769942.0,,0.25,2.45,4.94,2.2,2.49,1.34985,-0.38241302619529405,,567600.0,2.3255813953488413,6.772009029345383,40.71,32.5,-8.21,-29.014821272885793,,3.3960000000000004,0.2759954853273088
2020-08-01,137.0,,10.1,58.2,769942.0,,0.25,2.45,4.94,2.2,2.49,1.34985,-0.38241302619529405,,580200.0,2.2198731501057,8.753514526710404,42.34,34.6,-7.740000000000002,-22.751322751322746,,3.3960000000000004,-0.8747572633552019
2020-08-31,137.0,,10.1,58.2,769942.0,,0.25,2.45,4.827500000000001,2.2,2.3775000000000004,1.3222049999999999,-2.0480053339260063,,580200.0,2.2198731501057,8.753514526710404,42.34,34.6,-7.740000000000002,-22.751322751322746,,3.3510000000000004,-0.9085072633552023
2020-09-01,136.9,,9.1,59.6,769942.0,,0.25,2.45,4.827500000000001,2.2,2.3775000000000004,1.3222049999999999,-2.0480053339260063,,588600.0,1.4477766287487093,9.731543624161066,39.63,28.43,-11.200000000000003,-30.412642669007905,,3.3510000000000004,-1.5975218120805332
2020-09-30,136.9,,9.1,59.6,769942.0,,0.25,2.45,4.79,2.2,2.34,1.3228095238095239,0.04572088363936633,,588600.0,1.4477766287487093,9.731543624161066,39.63,28.43,-11.200000000000003,-30.412642669007905,,3.3360000000000003,-1.6087718120805328
2020-10-01,137.5,,9.0,59.7,769942.0,,0.25,2.45,4.79,2.2,2.34,1.3228095238095239,0.04572088363936633,,595400.0,1.1552837240910607,10.32054845284418,39.4,31.17,-8.229999999999997,-26.982950333580437,,3.3360000000000003,-1.92327422642209
2020-10-31,137.5,,9.0,59.7,769942.0,,0.25,2.45,4.79,2.2,2.34,1.3214714285714286,-0.10115554915584024,,595400.0,1.1552837240910607,10.32054845284418,39.4,31.17,-8.229999999999997,-26.982950333580437,,3.3360000000000003,-1.92327422642209
2020-11-01,137.7,,8.6,59.8,769942.0,,0.25,2.45,4.79,2.2,2.34,1.3214714285714286,-0.10115554915584024,,604200.0,1.477997984548196,11.537751522983196,40.94,31.57,-9.369999999999997,-28.213221111695606,,3.3360000000000003,-2.611875761491598
2020-11-30,137.7,,8.6,59.8,769942.0,,0.25,2.45,4.79,2.2,2.34,1.3068199999999999,-1.1087207982444003,,604200.0,1.477997984548196,11.537751522983196,40.94,31.57,-9.369999999999997,-28.213221111695606,,3.3360000000000003,-2.611875761491598
2020-12-01,137.4,,8.9,59.6,769942.0,,0.25,2.45,4.79,2.2,2.34,1.3068199999999999,-1.1087207982444003,,613800.0,1.5888778550148919,12.913907284768221,47.02,37.32,-9.700000000000003,-21.476285905143623,,3.3360000000000003,-3.23995364238411
2020-12-31,137.4,,8.9,59.6,769942.0,,0.25,2.45,4.79,2.2,2.34,1.2807714285714287,-1.9932792143195877,,613800.0,1.5888778550148919,12.913907284768221,47.02,37.32,-9.700000000000003,-21.476285905143623,,3.3360000000000003,-3.23995364238411
2021-01-01,138.2,1.0233918128654818,9.2,58.9,769942.0,,0.25,2.45,4.79,2.2,2.34,1.2807714285714287,-1.9932792143195877,,626800.0,2.1179537308569474,14.861645592816576,52.0,40.04,-11.96,-9.596662030598058,,3.3360000000000003,-4.153822796408288
2021-01-31,138.2,1.0233918128654818,9.2,58.9,817265.5,6.1463720643892605,0.25,2.45,4.79,2.2,2.34,1.272405,-0.6532335422847924,-2.7713366769940295,626800.0,2.1179537308569474,14.861645592816576,52.0,40.04,-11.96,-9.596662030598058,0.08539995660142763,3.3360000000000003,-4.153822796408288
2021-02-01,138.9,1.091703056768556,8.5,59.7,817265.5,6.1463720643892605,0.25,2.45,4.79,2.2,2.34,1.272405,-0.6532335422847924,-2.7713366769940295,644300.0,2.791959157626045,17.530098504195557,59.04,45.13,-13.909999999999997,16.818361693707963,0.2654800917159711,3.3360000000000003,-5.628049252097778
2021-02-28,138.9,1.091703056768556,8.5,59.7,817265.5,6.1463720643892605,0.25,2.45,4.79,2.2,2.34,1.269857894736842,-0.20018038778203406,-4.420217802092452,644300.0,2.791959157626045,17.530098504195557,59.04,45.13,-13.909999999999997,16.818361693707963,0.2654800917159711,3.3360000000000003,-5.628049252097778
2021-03-01,139.6,2.196193265007329,7.7,60.4,817265.5,6.1463720643892605,0.25,2.45,4.79,2.2,2.34,1.269857894736842,-0.20018038778203406,-4.420217802092452,663300.0,2.9489368306689467,20.88572990705304,62.33,50.94,-11.39,113.38582677165351,0.47128596041830656,3.3360000000000003,-7.465864953526521
2021-03-31,139.6,2.196193265007329,7.7,60.4,817265.5,6.1463720643892605,0.25,2.45,4.79,2.2,2.34,1.2573739130434782,-0.983100687494709,-9.88181952743391,663300.0,2.9489368306689467,20.88572990705304,62.33,50.94,-11.39,113.38582677165351,0.47128596041830656,3.3360000000000003,-7.465864953526521
2021-04-01,140.3,3.3898305084745894,8.2,59.8,817265.5,6.1463720643892605,0.25,2.45,4.79,2.2,2.34,1.2573739130434782,-0.983100687494709,-9.88181952743391,675100.0,1.7789838685360992,24.69523457702254,61.72,50.51,-11.21,272.93051359516613,0.34265729247934706,3.3360000000000003,-9.27061728851127
2021-04-30,140.3,3.3898305084745894,8.2,59.8,817265.5,6.1463720643892605,0.25,2.45,4.79,2.2,2.34,1.2495904761904761,-0.6190232493500925,-11.110885286994222,675100.0,1.7789838685360992,24.69523457702254,61.72,50.51,-11.21,272.93051359516613,0.34265729247934706,3.3360000000000003,-9.27061728851127
2021-05-01,141.0,3.6002939015429947,8.3,59.6,817265.5,6.1463720643892605,0.25,2.45,4.79,2.2,2.34,1.2495904761904761,-0.6190232493500925,-11.110885286994222,687200.0,1.792327062657395,26.207529843893475,65.17,54.78,-10.39,128.18627450980395,0.3169315588915548,3.3360000000000003,-10.006764921946738
2021-05-31,141.0,3.6002939015429947,8.3,59.6,817265.5,6.1463720643892605,0.25,2.45,4.79,2.2,2.34,1.212645,-2.956606735921097,-13.19462837426717,687200.0,1.792327062657395,26.207529843893475,65.17,54.78,-10.39,128.18627450980395,0.3169315588915548,3.3360000000000003,-10.006764921946738
2021-06-01,141.4,3.061224489795933,7.9,60.4,817265.5,6.1463720643892605,0.25,2.45,4.79,2.2,2.34,1.212645,-2.956606735921097,-13.19462837426717,696400.0,1.3387660069848595,25.545339823327918,71.38,58.46,-12.919999999999995,86.32210910989295,0.41983449324272265,3.3360000000000003,-9.75566991166396
